LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011865,0.010401693,0.436,경기도,시흥시,89081,960,,1014881,0.001095151,0.036,서울특별시,강서구,108882,,,
1011866,0.01810347,0.443,경기도,시흥시,89081,960,,1014882,0.001475767,0.041,서울특별시,강서구,108882,,,
1011867,0.019485547,0.443,경기도,시흥시,89081,960,,1014883,0.001087407,0.041,서울특별시,강서구,108882,,,
1011868,0.024568356,0.426,경기도,시흥시,89081,960,,1014884,0.012590984,0.129,서울특별시,강서구,108882,,,
1011869,0.024927582,0.426,경기도,시흥시,89081,960,,1014885,0.002467812,0.103,서울특별시,강서구,108882,,,
1011932,0.012870652,0.284,경기도,시흥시,89081,960,,1014886,0.005201524,0.103,서울특별시,강서구,108882,,,
1011933,0.009765579,0.41,경기도,시흥시,89081,960,,1014887,0.001694885,0.081,서울특별시,강서구,108882,,,
1011934,0.012591493,0.354,경기도,시흥시,89081,960,,1014888,0.00370888,0.081,서울특별시,강서구,108882,,,
1011935,0.006458046,0.13,경기도,시흥시,89081,960,,1014889,0.001665016,0.046,서울특별시,강서구,108882,,,
1011936,0.00854627,0.354,경기도,시흥시,89081,960,,1014890,0.000969403,0.046,서울특별시,강서구,108882,,,
1011937,0.008543646,0.232,경기도,시흥시,89081,960,,1014891,0.006346885,0.124,서울특별시,강서구,108882,,,
1011938,0.005783169,0.265,경기도,시흥시,89081,960,,1014892,0.007235681,0.122,서울특별시,강서구,108882,,,
1011939,0.021683477,0.575,경기도,시흥시,89081,960,,1014893,0.001767128,0.045,서울특별시,강서구,108882,,,
1011940,0.014326486,0.437,경기도,시흥시,89081,960,,1014894,0.001439089,0.045,서울특별시,강서구,108882,,,
1011941,0.0171768,0.437,경기도,시흥시,89081,960,,1014895,0.006914854,0.19,서울특별시,강서구,108882,,,
1011942,0.025046369,0.636,경기도,시흥시,89081,960,,1014896,0.009552723,0.199,서울특별시,강서구,108882,,,
1011943,0.034790531,0.636,경기도,시흥시,89081,960,,1014897,0.005382671,0.194,서울특별시,강서구,108882,,,
1011944,0.020332551,0.636,경기도,시흥시,89081,960,,1014898,0.020166956,0.28,서울특별시,강서구,108882,,,
1011945,0.029500094,0.636,경기도,시흥시,89081,960,,1014899,0.008533248,0.28,서울특별시,양천구,67561,,,
1011946,0.008607393,0.197,경기도,시흥시,89081,960,,1014900,0.030476882,0.849,서울특별시,양천구,67561,,,
