start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1085724,1070434,0.817788932,36.961,106864,2632,3567,151956,29633.5,185156.5,0.019264784,0.820689525,0.160045691,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,45.19625854
1085724,1038561,0.801021241,36.188,106864,2632,4174,177474.5,33408,215056.5,0.019408853,0.825245924,0.155345223,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,45.17732882
1085748,1096765,0.946876814,40.407,106864,2632,4056.5,179594.5,33464.5,217115.5,0.018683604,0.827184149,0.154132248,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,42.67397765
1085748,1070510,0.80653487,36.163,106864,2632,2912.5,116697.5,23636.5,143246.5,0.020332085,0.814662138,0.165005777,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,44.83749103
1085777,1041370,0.674583346,53.141,63773,384,4142.5,89611.5,26387,120141,0.034480319,0.745886084,0.219633597,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,78.77603311
1085807,1038908,0.94648958,51.327,63773,384,6945,125279.5,27905,160129.5,0.043371146,0.782363649,0.174265204,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,54.2288062
1085807,1038908,0.984513158,52.594,63773,384,7147.5,143867,30079.5,181094,0.039468453,0.794432726,0.166098822,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,53.42132766
1085826,1095576,0.932299776,43.294,63773,384,279.5,61275.5,5767,67322,0.004151689,0.910185378,0.085662933,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,46.43785305
1085836,1038145,1.149860344,49.942,63773,384,948.5,102478,9741.5,113168,0.008381345,0.905538668,0.086079987,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,43.4331006
1085836,1038145,1.172383362,49.794,63773,384,934.5,104364.5,9975.5,115274.5,0.008106737,0.905356345,0.086536918,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,42.47245535
